GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022200167,2022-11-09,minnesota timberwolves,phoenix suns,117,129,0.526,0.485,26,31,38,36,19,11,-12.0,12.0,0
0022200168,2022-11-09,milwaukee bucks,oklahoma city thunder,136,132,0.472,0.45,27,24,55,55,16,13,4.0,-4.0,1
0022200169,2022-11-09,memphis grizzlies,san antonio spurs,124,122,0.51,0.48,24,30,53,39,19,12,2.0,-2.0,1
0022200170,2022-11-09,la clippers,los angeles lakers,114,101,0.506,0.455,24,26,41,43,15,15,13.0,-13.0,1
0022200171,2022-11-09,cleveland cavaliers,sacramento kings,120,127,0.535,0.526,24,30,42,24,18,9,-7.0,7.0,0
0022200172,2022-11-10,dallas mavericks,washington wizards,105,113,0.43,0.488,19,25,41,52,12,17,-8.0,8.0,0
0022200173,2022-11-10,atlanta hawks,philadelphia 76ers,104,95,0.443,0.386,19,15,54,45,18,17,9.0,-9.0,1
0022200174,2022-11-10,charlotte hornets,miami heat,112,117,0.489,0.433,23,21,50,38,20,10,-5.0,5.0,0
0022200175,2022-11-10,new orleans pelicans,portland trail blazers,95,106,0.418,0.435,19,25,45,46,17,8,-11.0,11.0,0
0022200176,2022-11-11,boston celtics,denver nuggets,131,112,0.556,0.457,30,26,46,38,7,5,19.0,-19.0,1
0022200177,2022-11-11,orlando magic,phoenix suns,114,97,0.524,0.4,23,22,50,38,13,11,17.0,-17.0,1
0022200178,2022-11-11,detroit pistons,new york knicks,112,121,0.463,0.447,22,23,43,47,15,11,-9.0,9.0,0
0022200179,2022-11-11,oklahoma city thunder,toronto raptors,132,113,0.559,0.432,31,20,44,39,19,16,19.0,-19.0,1
0022200180,2022-11-11,milwaukee bucks,san antonio spurs,93,111,0.327,0.506,22,22,48,50,13,19,-18.0,18.0,0
0022200181,2022-11-11,memphis grizzlies,minnesota timberwolves,114,103,0.5,0.468,25,29,46,33,13,14,11.0,-11.0,1
0022200182,2022-11-11,cleveland cavaliers,golden state warriors,101,106,0.402,0.488,25,29,46,44,10,14,-5.0,5.0,0
0022200183,2022-11-11,los angeles lakers,sacramento kings,114,120,0.477,0.517,22,27,41,40,14,15,-6.0,6.0,0
0022200184,2022-11-12,brooklyn nets,la clippers,110,95,0.482,0.4,27,22,41,46,12,16,15.0,-15.0,1
0022200185,2022-11-12,utah jazz,washington wizards,112,121,0.468,0.5,33,27,42,46,12,9,-9.0,9.0,0
0022200186,2022-11-12,boston celtics,detroit pistons,117,108,0.429,0.416,27,23,42,50,7,14,9.0,-9.0,1
0022200187,2022-11-12,indiana pacers,toronto raptors,118,104,0.5,0.394,33,14,51,43,21,12,14.0,-14.0,1
