GAME_ID,DATE,Team1,Team2,Team1_PTS,Team2_PTS,Team1_FG_PCT,Team2_FG_PCT,Team1_AST,Team2_AST,Team1_REB,Team2_REB,Team1_TOV,Team2_TOV,Team1_PLUS_MINUS,Team2_PLUS_MINUS,Team1Win
0022100143,2021-11-07,indiana pacers,sacramento kings,94,91,0.446,0.369,13,20,54,33,19,12,3.0,-3.0,1
0022100144,2021-11-07,oklahoma city thunder,san antonio spurs,99,94,0.372,0.41,21,29,57,46,13,9,5.0,-5.0,1
0022100145,2021-11-07,golden state warriors,houston rockets,120,107,0.518,0.456,31,17,41,42,15,21,13.0,-13.0,1
0022100146,2021-11-07,charlotte hornets,la clippers,106,120,0.406,0.477,20,24,44,50,13,20,-14.0,14.0,0
0022100147,2021-11-08,new york knicks,philadelphia 76ers,103,96,0.44,0.385,25,20,55,47,13,8,7.0,-7.0,1
0022100148,2021-11-08,brooklyn nets,chicago bulls,95,118,0.395,0.469,19,21,42,56,14,9,-23.0,23.0,0
0022100149,2021-11-08,memphis grizzlies,minnesota timberwolves,125,118,0.5,0.423,28,23,51,45,13,13,7.0,-7.0,1
0022100150,2021-11-08,dallas mavericks,new orleans pelicans,108,92,0.506,0.425,27,27,46,39,12,13,16.0,-16.0,1
0022100151,2021-11-08,denver nuggets,miami heat,113,96,0.462,0.397,28,22,49,37,9,13,17.0,-17.0,1
0022100152,2021-11-08,atlanta hawks,golden state warriors,113,127,0.463,0.478,21,31,35,39,18,13,-14.0,14.0,0
0022100153,2021-11-08,phoenix suns,sacramento kings,109,104,0.473,0.451,28,18,38,46,14,24,5.0,-5.0,1
0022100154,2021-11-08,charlotte hornets,los angeles lakers,123,126,0.434,0.484,23,30,55,51,18,15,-3.0,3.0,0
0022100155,2021-11-09,milwaukee bucks,philadelphia 76ers,118,109,0.463,0.408,21,21,52,46,8,7,9.0,-9.0,1
0022100156,2021-11-09,atlanta hawks,utah jazz,98,110,0.435,0.506,22,21,32,44,11,14,-12.0,12.0,0
